method,solution_id,design,design_family,xi_cap,bench_budget_rule,delta,is_nondominated,is_compromise,xi_score,bench_score,xi_spend,bench_spend,total_spend,formation,captain,vice_captain
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | actual_remainder | xi_cap=65","Two-stage actual remainder, XI cap £65m",Two-stage,65.0,actual_remainder,,,False,59.940014747472354,18.337381866740916,64.80000000000001,30.3,95.10000000000001,3-4-3,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | fixed_split | xi_cap=70","Two-stage fixed allocation, XI cap £70m",Two-stage,70.0,fixed_split,,,False,61.96341251042696,16.800300662909063,69.8,29.799999999999997,99.6,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | actual_remainder | xi_cap=70","Two-stage actual remainder, XI cap £70m",Two-stage,70.0,actual_remainder,,,False,61.96341251042696,16.800300662909063,69.8,29.799999999999997,99.6,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | fixed_split | xi_cap=75","Two-stage fixed allocation, XI cap £75m",Two-stage,75.0,fixed_split,,,False,63.156081606239844,16.49171940410328,75.0,23.900000000000002,98.9,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | actual_remainder | xi_cap=75","Two-stage actual remainder, XI cap £75m",Two-stage,75.0,actual_remainder,,,False,63.156081606239844,16.49171940410328,75.0,23.900000000000002,98.9,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | fixed_split | xi_cap=80","Two-stage fixed allocation, XI cap £80m",Two-stage,80.0,fixed_split,,,False,64.23834986652562,15.470430566087263,79.69999999999999,20.0,99.69999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | actual_remainder | xi_cap=80","Two-stage actual remainder, XI cap £80m",Two-stage,80.0,actual_remainder,,,False,64.23834986652562,15.470430566087263,79.69999999999999,20.0,99.69999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | fixed_split | xi_cap=83.5","Two-stage fixed allocation, XI cap £83.5m",Two-stage,83.5,fixed_split,,,False,64.72332019702876,12.32380019692485,82.89999999999999,16.5,99.39999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | actual_remainder | xi_cap=83.5","Two-stage actual remainder, XI cap £83.5m",Two-stage,83.5,actual_remainder,,,False,64.72332019702876,13.039059224810567,82.89999999999999,17.0,99.89999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,1)","ARIMA(1,0,1) | joint_pareto | delta=0.000",Joint Pareto δ=0.0%,Joint Pareto,,endogenous,0.0,True,False,64.72332019702876,13.039059224810567,82.89999999999999,17.0,99.89999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,1)","ARIMA(1,0,1) | joint_pareto | delta=0.005",Joint Pareto δ=0.5%,Joint Pareto,,endogenous,0.005,True,False,64.40409590550297,15.232444714627722,80.7,19.3,100.0,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,1)","ARIMA(1,0,1) | joint_pareto | delta=0.010",Joint Pareto δ=1.0%,Joint Pareto,,endogenous,0.01,True,False,64.11106585875434,15.892961582496309,78.49999999999999,21.5,99.99999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,1)","ARIMA(1,0,1) | joint_pareto | delta=0.020",Joint Pareto δ=2.0%,Joint Pareto,,endogenous,0.02,True,False,63.42922950713217,16.574797934118482,77.6,22.4,100.0,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,1)","ARIMA(1,0,1) | joint_pareto | delta=0.050",Joint Pareto δ=5.0%,Joint Pareto,,endogenous,0.05,True,True,61.488049506382794,18.515977934867863,73.7,26.3,100.0,3-4-3,Bukayo Saka,Ollie Watkins
