series,name,team,position,value,role,is_captain,is_vice_captain,xi_cap,xi_spend,bench_spend,total_spend
"ARIMA (1,0,0)",Cameron Archer,Sheffield Utd,FWD,4.3,Bench,False,False,83.5,83.39999999999999,16.5,99.89999999999999
"ARIMA (1,0,0)",Chris Richards,Crystal Palace,DEF,3.9,Bench,False,False,83.5,83.39999999999999,16.5,99.89999999999999
"ARIMA (1,0,0)",Conor Bradley,Liverpool,DEF,4.1,Bench,False,False,83.5,83.39999999999999,16.5,99.89999999999999
"ARIMA (0,1,1)",Alexis Mac Allister,Liverpool,MID,5.8,XI,False,False,83.5,65.8,16.5,82.3
"ARIMA (0,1,1)",Bukayo Saka,Arsenal,MID,9.1,XI,False,False,83.5,65.8,16.5,82.3
"ARIMA (0,1,1)",Chris Richards,Crystal Palace,DEF,3.9,XI,True,False,83.5,65.8,16.5,82.3
"ARIMA (0,1,1)",Daniel Muñoz,Crystal Palace,DEF,4.5,XI,False,False,83.5,65.8,16.5,82.3
"ARIMA (0,1,1)",Ederson Santana de Moraes,Man City,GK,5.5,XI,False,False,83.5,65.8,16.5,82.3
"ARIMA (0,1,1)",Emerson Palmieri dos Santos,West Ham,DEF,4.4,XI,False,True,83.5,65.8,16.5,82.3
"ARIMA (0,1,1)",Jakub Kiwior,Arsenal,DEF,4.3,XI,False,False,83.5,65.8,16.5,82.3
"ARIMA (0,1,1)",Kai Havertz,Arsenal,MID,7.1,XI,False,False,83.5,65.8,16.5,82.3
"ARIMA (0,1,1)",Luis Díaz,Liverpool,MID,7.5,XI,False,False,83.5,65.8,16.5,82.3
"ARIMA (0,1,1)",Manuel Akanji,Man City,DEF,4.9,XI,False,False,83.5,65.8,16.5,82.3
"ARIMA (0,1,1)",Ollie Watkins,Aston Villa,FWD,8.8,XI,False,False,83.5,65.8,16.5,82.3
"ARIMA (0,1,1)",Cameron Archer,Sheffield Utd,FWD,4.3,Bench,False,False,83.5,65.8,16.5,82.3
"ARIMA (0,1,1)",Caoimhin Kelleher,Liverpool,GK,3.7,Bench,False,False,83.5,65.8,16.5,82.3
"ARIMA (0,1,1)",Carney Chukwuemeka,Chelsea,MID,4.2,Bench,False,False,83.5,65.8,16.5,82.3
"ARIMA (0,1,1)",William Osula,Sheffield Utd,FWD,4.3,Bench,False,False,83.5,65.8,16.5,82.3
"ARIMA (1,0,1)",Bukayo Saka,Arsenal,MID,9.1,XI,True,False,83.5,82.89999999999999,16.5,99.39999999999999
"ARIMA (1,0,1)",Cole Palmer,Chelsea,MID,5.8,XI,False,False,83.5,82.89999999999999,16.5,99.39999999999999
"ARIMA (1,0,1)",Dominic Solanke,Bournemouth,FWD,7.0,XI,False,False,83.5,82.89999999999999,16.5,99.39999999999999
"ARIMA (1,0,1)",Jakub Kiwior,Arsenal,DEF,4.3,XI,False,False,83.5,82.89999999999999,16.5,99.39999999999999
"ARIMA (1,0,1)",Kieran Trippier,Newcastle,DEF,6.9,XI,False,False,83.5,82.89999999999999,16.5,99.39999999999999
"ARIMA (1,0,1)",Mohamed Salah,Liverpool,MID,13.0,XI,False,False,83.5,82.89999999999999,16.5,99.39999999999999
"ARIMA (1,0,1)",Ollie Watkins,Aston Villa,FWD,8.8,XI,False,True,83.5,82.89999999999999,16.5,99.39999999999999
