bootstrap,model,cost_spearman,normalized_cost_rmse,top15_jaccard,squad_jaccard,xi_jaccard,captain_same
17,Full LASSO,0.9900570018199871,0.06788161518096408,0.875,1.0,0.8333333333333334,True
18,Full Ridge,0.9847231080656734,0.06322729597335495,0.875,0.5,0.8333333333333334,True
18,Reduced Ridge,0.9854411751806019,0.045530914031186774,0.875,0.5,0.8333333333333334,True
18,Parsimonious Ridge,0.9859763657302945,0.04975296690962465,0.875,0.5,0.6923076923076923,True
18,Full LASSO,0.9903233008026466,0.06482705761586974,0.7647058823529411,0.7647058823529411,0.5714285714285714,True
19,Full Ridge,0.9971294192469949,0.05078938705223285,1.0,0.5789473684210527,0.8333333333333334,True
19,Reduced Ridge,0.9973697611838751,0.0369477029231912,0.875,0.6666666666666666,0.8333333333333334,True
19,Parsimonious Ridge,0.9974540006681235,0.03965778813832553,0.875,0.6666666666666666,0.8333333333333334,True
19,Full LASSO,0.9982601039409706,0.035929013786463265,0.875,1.0,1.0,True
20,Full Ridge,0.9979817944785362,0.0390162608707404,0.875,0.5789473684210527,0.8333333333333334,True
20,Reduced Ridge,0.9970789338969247,0.035525177004788314,0.875,0.5,0.8333333333333334,True
20,Parsimonious Ridge,0.9957097036947505,0.0412180594599411,0.875,0.6666666666666666,0.8333333333333334,True
20,Full LASSO,0.9746467063091916,0.05640095632969436,0.875,1.0,1.0,True
21,Full Ridge,0.9947830276962464,0.03751710611896671,0.875,0.875,1.0,True
21,Reduced Ridge,0.9947027261943188,0.03544004372619518,0.875,0.5,0.8333333333333334,True
21,Parsimonious Ridge,0.9948227825653897,0.03929662873896725,1.0,0.6666666666666666,0.8333333333333334,True
21,Full LASSO,0.9933853749618538,0.061481775117258004,0.875,1.0,0.8333333333333334,False
22,Full Ridge,0.9562779991324355,0.06016011574846414,0.875,0.5,0.6923076923076923,True
22,Reduced Ridge,0.9574350783505338,0.055936571111109105,0.875,0.5,0.6923076923076923,True
22,Parsimonious Ridge,0.9552304958351046,0.06360204647295702,0.875,0.6666666666666666,1.0,True
22,Full LASSO,0.9873300747127077,0.055058641180857945,0.875,0.875,1.0,False
23,Full Ridge,0.9748350844887856,0.06448630643133593,0.875,0.5,0.8333333333333334,True
23,Reduced Ridge,0.9745447155913117,0.05751199493437216,0.875,0.5,0.8333333333333334,True
23,Parsimonious Ridge,0.9738399209353162,0.0554239495752126,0.7647058823529411,0.6666666666666666,0.6923076923076923,True
23,Full LASSO,0.9872793420042378,0.05896197680721564,0.7647058823529411,0.875,0.8333333333333334,True
24,Full Ridge,0.9624090417240896,0.06563284529768107,0.875,1.0,1.0,True
24,Reduced Ridge,0.9622416253857426,0.06649653474454033,0.7647058823529411,1.0,1.0,True
24,Parsimonious Ridge,0.9659400575332966,0.06695365240586755,0.875,0.6666666666666666,0.8333333333333334,True
24,Full LASSO,0.9890427422742232,0.06425132533365727,0.875,0.875,1.0,False
25,Full Ridge,0.956226451152215,0.05470468751011348,0.875,0.5789473684210527,0.8333333333333334,True
25,Reduced Ridge,0.9564211625002988,0.05233863894888548,0.875,0.5789473684210527,0.6923076923076923,True
25,Parsimonious Ridge,0.9573815092894399,0.05773009290179072,1.0,0.6666666666666666,0.8333333333333334,True
25,Full LASSO,0.9935949762211906,0.05011123414936101,0.875,0.875,0.8333333333333334,True
