model,position,alpha,cv_rmse_mean,cv_rmse_se,cv_mae_mean,folds,one_se_threshold,selected,selection_rule
Parsimonious Ridge,GK,10.0,1.4946163381739392,0.12342514813141905,0.6731106246385979,3,1.6197759816564687,False,minimum rolling-origin RMSE
Parsimonious Ridge,GK,31.622776601683793,1.496561344091246,0.12006583348967555,0.6797499673603452,3,1.6197759816564687,False,minimum rolling-origin RMSE
Parsimonious Ridge,GK,100.0,1.5035604292785916,0.11710419893944866,0.6952048123503594,3,1.6197759816564687,False,minimum rolling-origin RMSE
Parsimonious Ridge,GK,316.2277660168379,1.517242582868466,0.1203030309842351,0.7260981815671287,3,1.6197759816564687,False,minimum rolling-origin RMSE
Parsimonious Ridge,GK,1000.0,1.5514230516896028,0.1357152366009975,0.7894547182218816,3,1.6197759816564687,False,minimum rolling-origin RMSE
Parsimonious Ridge,DEF,0.001,2.026298634262218,0.05304041629873556,1.1273108577891542,3,2.0716898766801077,False,minimum rolling-origin RMSE
Parsimonious Ridge,DEF,0.0031622776601683794,2.0262985133594786,0.05304031209951909,1.1273108078107017,3,2.0716898766801077,False,minimum rolling-origin RMSE
Parsimonious Ridge,DEF,0.01,2.026298131060688,0.05303998261192831,1.127310649779773,3,2.0716898766801077,False,minimum rolling-origin RMSE
Parsimonious Ridge,DEF,0.03162277660168379,2.026296922418102,0.05303894087328791,1.1273101501902227,3,2.0716898766801077,False,minimum rolling-origin RMSE
Parsimonious Ridge,DEF,0.1,2.0262931032762737,0.05303564853136265,1.1273085718299065,3,2.0716898766801077,False,minimum rolling-origin RMSE
Parsimonious Ridge,DEF,0.31622776601683794,2.0262810552491377,0.05302525644450237,1.1273035953995938,3,2.0716898766801077,False,minimum rolling-origin RMSE
Parsimonious Ridge,DEF,1.0,2.0262432458649737,0.05299258475462522,1.1272880056755203,3,2.0716898766801077,False,minimum rolling-origin RMSE
Parsimonious Ridge,DEF,3.1622776601683795,2.0261265252020375,0.052891141838090926,1.1272416368424856,3,2.0716898766801077,False,minimum rolling-origin RMSE
Parsimonious Ridge,DEF,10.0,2.0257842045103867,0.05258802614143004,1.127113178679111,3,2.0716898766801077,False,minimum rolling-origin RMSE
Parsimonious Ridge,DEF,31.622776601683793,2.0249254202775506,0.0517779220591886,1.1268572461177053,3,2.0716898766801077,False,minimum rolling-origin RMSE
Parsimonious Ridge,DEF,100.0,2.0235682531673747,0.05014307601468882,1.1270927807627338,3,2.0716898766801077,False,minimum rolling-origin RMSE
Parsimonious Ridge,DEF,316.2277660168379,2.023429955970708,0.048259920709399606,1.1308165409224935,3,2.0716898766801077,True,minimum rolling-origin RMSE
Parsimonious Ridge,DEF,1000.0,2.0270723808707265,0.04815134747430288,1.1456679223204225,3,2.0716898766801077,False,minimum rolling-origin RMSE
Parsimonious Ridge,MID,0.001,2.0990017035110733,0.062177268792044826,1.0940069967992019,3,2.161430830749699,False,minimum rolling-origin RMSE
Parsimonious Ridge,MID,0.0031622776601683794,2.0990016989451057,0.06217729015312593,1.094007023495368,3,2.161430830749699,False,minimum rolling-origin RMSE
Parsimonious Ridge,MID,0.01,2.099001684508769,0.0621773577007024,1.0940071079178735,3,2.161430830749699,False,minimum rolling-origin RMSE
Parsimonious Ridge,MID,0.03162277660168379,2.099001638882246,0.06217757128396768,1.0940073749034278,3,2.161430830749699,False,minimum rolling-origin RMSE
Parsimonious Ridge,MID,0.1,2.099001494850257,0.062178246484361044,1.0940082193673464,3,2.161430830749699,False,minimum rolling-origin RMSE
Parsimonious Ridge,MID,0.31622776601683794,2.0990010418958307,0.06218037956581362,1.094010891609497,3,2.161430830749699,False,minimum rolling-origin RMSE
Parsimonious Ridge,MID,1.0,2.098999634589108,0.062187104137033905,1.0940193600498356,3,2.161430830749699,False,minimum rolling-origin RMSE
Parsimonious Ridge,MID,3.1622776601683795,2.098995432207556,0.06220816310662997,1.0940463184493174,3,2.161430830749699,False,minimum rolling-origin RMSE
Parsimonious Ridge,MID,10.0,2.0989845398555063,0.06227276640128462,1.094133300123195,3,2.161430830749699,False,minimum rolling-origin RMSE
Parsimonious Ridge,MID,31.622776601683793,2.098971717160468,0.06245911358923101,1.0944276153304406,3,2.161430830749699,True,minimum rolling-origin RMSE
Parsimonious Ridge,MID,100.0,2.0990925052985383,0.06291501525394279,1.095501780239656,3,2.161430830749699,False,minimum rolling-origin RMSE
