series,name,objective_coefficient,bench_forecast,xi_cap
Simple Avg. (Budget = 55),Matt Turner,1.6153846153846154,1.6153846153846154,55.0
Simple Avg. (Budget = 55),Matthew Cox,0.0,0.0,55.0
Simple Avg. (Budget = 55),Matthew Dibley-Dias,0.0,0.0,55.0
Simple Avg. (Budget = 55),Matthew Whittingham,0.0,0.0,55.0
Simple Avg. (Budget = 55),Matty Cash,2.1538461538461537,2.1538461538461537,55.0
Simple Avg. (Budget = 55),Matz Sels,2.75,2.75,55.0
Simple Avg. (Budget = 55),Mauro Bandeira,0.0,0.0,55.0
Simple Avg. (Budget = 55),Max Aarons,0.92,0.92,55.0
Simple Avg. (Budget = 55),Max Kilman,2.6538461538461537,2.6538461538461537,55.0
Simple Avg. (Budget = 55),Max Kinsey,0.0,0.0,55.0
Simple Avg. (Budget = 55),Max Kinsey-Wellings,0.0,0.0,55.0
Simple Avg. (Budget = 55),Max Lowe,0.4230769230769231,0.4230769230769231,55.0
Simple Avg. (Budget = 55),Maxime Esteve,0.75,0.75,55.0
Simple Avg. (Budget = 55),Maxwel Cornet,0.4230769230769231,0.4230769230769231,55.0
Simple Avg. (Budget = 55),Micah Hamilton,0.0,0.0,55.0
Simple Avg. (Budget = 55),Michael Keane,0.6923076923076923,0.6923076923076923,55.0
Simple Avg. (Budget = 55),Michael Ndiweni,0.07142857142857142,0.07142857142857142,55.0
Simple Avg. (Budget = 55),Michael Obafemi,0.07692307692307693,0.07692307692307693,55.0
Simple Avg. (Budget = 55),Michael Olakigbe,0.3181818181818182,0.3181818181818182,55.0
Simple Avg. (Budget = 55),Michael Olise,2.769230769230769,2.769230769230769,55.0
Simple Avg. (Budget = 55),Michail Antonio,1.5384615384615385,1.5384615384615385,55.0
Simple Avg. (Budget = 55),Michale Olakigbe,0.25,0.25,55.0
Simple Avg. (Budget = 55),Michał Karbownik,0.0,0.0,55.0
Simple Avg. (Budget = 55),Micky van de Ven,1.96,1.96,55.0
Simple Avg. (Budget = 55),Miguel Almirón Rejala,2.6923076923076925,2.6923076923076925,55.0
Simple Avg. (Budget = 55),Mike Trésor,0.782608695652174,0.782608695652174,55.0
Simple Avg. (Budget = 55),Mikkel Damsgaard,0.8461538461538461,0.8461538461538461,55.0
Simple Avg. (Budget = 55),Milos Kerkez,1.44,1.44,55.0
Simple Avg. (Budget = 55),Mohamed Dräger,0.0,0.0,55.0
Simple Avg. (Budget = 55),Mohamed Elneny,0.23076923076923078,0.23076923076923078,55.0
